success,ref_mic,error_mic,noise_type,noise_reduction_db,convergence_time_s,final_mse
True,firewall_center,driver_headrest,engine,8.092484594503322,0.0566875,0.005295598208441555
True,firewall_center,driver_ear_left,engine,8.748934771723825,0.774375,0.006896859565586195
True,firewall_center,driver_ear_right,engine,7.273871002713505,0.88375,0.00623991865769085
True,firewall_center,passenger_headrest,engine,8.506583064365199,0.9915,0.004917846260331625
True,firewall_center,center_cabin,engine,13.066667878105196,0.1016875,0.004573288579243383
True,firewall_center,rearview_mirror,engine,7.548267960095285,0.0935625,0.014156856069649799
True,firewall_driver,driver_headrest,engine,2.920120892758489,3.0,0.0186378841309095
True,firewall_driver,driver_ear_left,engine,3.4315463416978798,1.665125,0.012822055334898594
True,firewall_driver,driver_ear_right,engine,2.9025821134094922,1.6621875,0.018967061736660913
True,firewall_driver,passenger_headrest,engine,3.2500404375420566,1.292375,0.03570769358519925
True,firewall_driver,center_cabin,engine,0.8197150349613558,0.167625,0.09752171245270225
True,firewall_driver,rearview_mirror,engine,3.794324084557601,0.1054375,0.026975144726888334
True,dashboard,driver_headrest,engine,3.714652778711414,0.065375,0.016112326521685472
True,dashboard,driver_ear_left,engine,4.084356848702127,0.0629375,0.0163643783335459
True,dashboard,driver_ear_right,engine,3.7200084728453007,0.06325,0.03423700676102283
True,dashboard,passenger_headrest,engine,4.065310448116629,0.3446875,0.0184854048293153
True,dashboard,center_cabin,engine,3.604740620695013,0.0428125,0.04675558883423271
True,dashboard,rearview_mirror,engine,2.882553345487633,0.06725,0.028819536488756837
True,a_pillar_left,driver_headrest,engine,8.997409071023696,0.1021875,0.005791399491142915
True,a_pillar_left,driver_ear_left,engine,8.276983314290833,0.07275,0.006021560538916059
True,a_pillar_left,driver_ear_right,engine,7.782827164509442,0.1098125,0.01000149021576824
True,a_pillar_left,passenger_headrest,engine,8.028044322856761,0.05225,0.007470613968888157
True,a_pillar_left,center_cabin,engine,3.328060884154573,0.0515625,0.03521224578209889
True,a_pillar_left,rearview_mirror,engine,4.436277099159859,0.0431875,0.02692728368277948
True,a_pillar_right,driver_headrest,engine,8.96900381138751,0.2346875,0.004120675093279253
True,a_pillar_right,driver_ear_left,engine,8.661537780662034,0.0996875,0.007050389257904751
True,a_pillar_right,driver_ear_right,engine,8.463923753516351,0.0604375,0.006858225592707237
True,a_pillar_right,passenger_headrest,engine,10.199011780067305,0.631,0.002722380427603869
True,a_pillar_right,center_cabin,engine,6.307657461328383,0.0908125,0.017132451383765932
True,a_pillar_right,rearview_mirror,engine,4.63065048535478,0.0669375,0.022945026076395512
True,under_driver_seat,driver_headrest,engine,2.7715720289575008,0.36825,0.03184096899766279
True,under_driver_seat,driver_ear_left,engine,3.3107401397879577,0.090125,0.0294606865624378
True,under_driver_seat,driver_ear_right,engine,2.838322322356492,0.1061875,0.02144485875327718
True,under_driver_seat,passenger_headrest,engine,2.3106134082297176,3.0,0.02764841724639362
True,under_driver_seat,center_cabin,engine,5.526009868056338,0.1344375,0.017234222480214105
True,under_driver_seat,rearview_mirror,engine,-0.11838891805904556,0.247625,0.05517216087439868
True,floor_front_left,driver_headrest,engine,4.249876792659042,1.07975,0.017004023373936243
True,floor_front_left,driver_ear_left,engine,3.3606430855000973,0.07425,0.02512567804517947
True,floor_front_left,driver_ear_right,engine,3.6957057726292457,0.0670625,0.019687472914835524
True,floor_front_left,passenger_headrest,engine,3.95375419960865,0.1239375,0.02479940682706345
True,floor_front_left,center_cabin,engine,5.247830388883309,0.0779375,0.028507112213672643
True,floor_front_left,rearview_mirror,engine,2.3521764936531553,0.1744375,0.05132791103179061
True,floor_front_right,driver_headrest,engine,3.3802721890858214,3.0,0.023536194306012944
True,floor_front_right,driver_ear_left,engine,3.3593851574758586,3.0,0.012943456492663746
True,floor_front_right,driver_ear_right,engine,3.311484025875565,0.1883125,0.023272524546712976
True,floor_front_right,passenger_headrest,engine,3.3712578184051782,0.698125,0.019266302078208064
True,floor_front_right,center_cabin,engine,4.067169668856362,0.0445625,0.06187260136411662
True,floor_front_right,rearview_mirror,engine,2.9827862452600975,0.097,0.047155004287271034
True,firewall_center,driver_headrest,road_front,4.595474644078401,1.1771875,0.02341528057316812
True,firewall_center,driver_ear_left,road_front,2.5487994954489674,0.176875,0.025130005537737067
True,firewall_center,driver_ear_right,road_front,3.2933419720177093,0.125875,0.022736804702480035
True,firewall_center,passenger_headrest,road_front,3.4576120408697175,0.3033125,0.058816177535353224
True,firewall_center,center_cabin,road_front,10.522761516940342,0.6465625,0.019444720191753983
True,firewall_center,rearview_mirror,road_front,0.00980995228486876,0.10075,0.09471764481454008
True,firewall_driver,driver_headrest,road_front,8.860656164298216,3.0,0.01757976180803933
True,firewall_driver,driver_ear_left,road_front,5.902939675993641,0.2481875,0.00980454969279226
True,firewall_driver,driver_ear_right,road_front,7.69260614391732,0.293875,0.013384409508175803
True,firewall_driver,passenger_headrest,road_front,9.757023795550698,0.1720625,0.015191065259406248
True,firewall_driver,center_cabin,road_front,5.075691018679791,0.2685625,0.0611527972633455
True,firewall_driver,rearview_mirror,road_front,-1.1407322507346813,0.434875,0.14796990210912145
True,dashboard,driver_headrest,road_front,3.289450599269011,0.114125,0.03491862171206357
True,dashboard,driver_ear_left,road_front,3.249107879279825,0.1958125,0.03454658191012794
True,dashboard,driver_ear_right,road_front,5.122515794883602,0.128125,0.028282617127566502
True,dashboard,passenger_headrest,road_front,3.378195030040074,0.1596875,0.04931749820471454
True,dashboard,center_cabin,road_front,0.4496330702007705,0.061125,0.14611048733669849
True,dashboard,rearview_mirror,road_front,-4.010034795747124,0.0816875,0.2845158060525181
True,a_pillar_left,driver_headrest,road_front,6.198586724251757,0.165375,0.012374844027226021
True,a_pillar_left,driver_ear_left,road_front,4.270951659092463,0.07375,0.010724947411381846
True,a_pillar_left,driver_ear_right,road_front,2.2108720753893483,0.09525,0.08028845379157085
True,a_pillar_left,passenger_headrest,road_front,3.594396172875797,0.3585625,0.05641585476509395
True,a_pillar_left,center_cabin,road_front,6.020219703255988,0.1103125,0.047518957173456555
True,a_pillar_left,rearview_mirror,road_front,0.4465631078209321,0.097625,0.1449845731098851
True,a_pillar_right,driver_headrest,road_front,2.6608484833003496,0.0876875,0.07019760698684678
True,a_pillar_right,driver_ear_left,road_front,5.638545728860644,0.1833125,0.015771376159737272
True,a_pillar_right,driver_ear_right,road_front,5.313993858831934,0.1814375,0.04821939156152484
True,a_pillar_right,passenger_headrest,road_front,3.1105845633322335,0.3148125,0.015163515881990285
